country,year,co2,gdp,population,co2_per_capita,gdp_per_capita,co2_intensity_per_gdp
Argentina,2022,204.081,854914301952.0,45407904.0,4.494,18827.43369859133,0.0002387151548804693
Finland,2022,36.367,226154840064.0,5569299.0,6.53,40607.4157742294,0.00016080575586933463
Cape Verde,2022,0.555,4251154688.0,519750.0,1.068,8179.229798941799,0.0001305527652443778
Brazil,2022,483.841,3187413090304.0,210306411.0,2.301,15156.043389965891,0.0001517973937773637
Ecuador,2022,40.522,175028879360.0,17823900.0,2.273,9819.897966213905,0.0002315160797930621
El Salvador,2022,7.8,59270934528.0,6280316.0,1.242,9437.572015166115,0.00013159907232971374
Egypt,2022,271.169,1460427423744.0,112618251.0,2.408,12967.946232302967,0.00018567783348303756
Benin,2022,5.792,33290362880.0,13759507.0,0.421,2419.444452479293,0.00017398428550863544
Canada,2022,550.612,1761295597568.0,38821260.0,14.183,45369.35683097354,0.00031261759852252284
Vietnam,2022,297.634,833803845632.0,99680656.0,2.986,8364.750786070268,0.0003569592555361768
Bulgaria,2022,46.966,138390159360.0,6825863.0,6.881,20274.382793794717,0.0003393738414436349
Equatorial Guinea,2022,6.826,20191379456.0,1803550.0,3.785,11195.353306534334,0.0003380650645922862
Algeria,2022,184.558,595820019712.0,45477391.0,4.058,13101.455615868554,0.00030975461363183017
Estonia,2022,11.757,39999856640.0,1350092.0,8.708,29627.50437747946,0.0002939260534309755
Albania,2022,5.173,36171005952.0,2827615.0,1.83,12792.054771247147,0.00014301509907865777
Eswatini,2022,1.08,9594910720.0,1218921.0,0.886,7871.642805399201,0.0001125596716339222
Cameroon,2022,10.046,82727796736.0,27632771.0,0.364,2993.829201421747,0.00012143439564888546
Burkina Faso,2022,6.374,37320441856.0,22509037.0,0.283,1658.0203700407085,0.00017079111829902552
Ethiopia,2022,15.157,269977223168.0,125384285.0,0.121,2153.1982510248395,5.614177308049495e-05
Afghanistan,2022,10.558,53303472128.0,40578846.0,0.26,1313.5778215082805,0.00019807340082174393
Cambodia,2022,19.609,65136594944.0,17201717.0,1.14,3786.633331079682,0.000301044290338764
Angola,2022,20.25,158346248192.0,35635028.0,0.568,4443.556160303845,0.00012788430563537076
Armenia,2022,7.165,39721734144.0,2880883.0,2.487,13788.041424799272,0.00018037983875591391
Dominica,2022,0.156,675097984.0,66850.0,2.338,10098.698339566194,0.00023107756754906856
Dominican Republic,2022,30.431,191182372864.0,11230734.0,2.71,17023.14139610109,0.00015917262425468209
Costa Rica,2022,7.847,80345899008.0,5081765.0,1.544,15810.628592231242,9.766522121083839e-05
Belgium,2022,89.002,489678405632.0,11641813.0,7.645,42062.040133439696,0.00018175602390538376
Comoros,2022,0.451,1682077056.0,834192.0,0.541,2016.4147534380575,0.00026812089160319655
Cote d'Ivoire,2022,13.644,121472000000.0,30395003.0,0.449,3996.4463895594945,0.00011232218124341412
Belarus,2022,59.384,175773810688.0,9173241.0,6.474,19161.58211563394,0.00033784327578473625
Yemen,2022,10.296,60852994048.0,38222880.0,0.269,1592.0567484187482,0.0001691946330837667
Croatia,2022,17.608,102284648448.0,3907031.0,4.507,26179.635751034482,0.00017214704520348081
Zambia,2022,7.522,68469604352.0,20152934.0,0.373,3397.5005501432197,0.00010985896692683727
Barbados,2022,1.143,3408005888.0,282324.0,4.05,12071.258157294456,0.00033538674449614097
Cuba,2022,21.882,84154974208.0,11059821.0,1.979,7609.071992033144,0.00026002028051147377
Bolivia,2022,22.378,78165311488.0,12077155.0,1.853,6472.1626482395895,0.00028629067771879203
Colombia,2022,98.293,742716997632.0,51737944.0,1.9,14355.363592182945,0.00013234246733733975
Bangladesh,2022,113.863,858143916032.0,169384890.0,0.672,5066.236522230525,0.00013268520334735331
Central African Republic,2022,0.271,3752056576.0,5098038.0,0.053,735.980503872274,7.222705588541744e-05
